n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos
1000,gaussiana,10,1,10000,11000,0.7134595513343811,0.2240598350763321,0.3676705062389374,-0.038492441177368164,0,91.8
1000,gaussiana,10,2,10000,11000,0.6990504860877991,0.20552271604537964,0.34550875425338745,0.047425031661987305,76,91.5
1000,block_bootstrap,10,0,10000,11000,0.47835448384284973,0.1467057466506958,0.30119696259498596,0.3200351595878601,53,92.6
1000,block_bootstrap,10,1,10000,11000,0.4550365209579468,0.14909780025482178,0.2974570691585541,0.30894821882247925,65,92.7
1000,block_bootstrap,10,2,10000,11000,0.4852806627750397,0.1591661125421524,0.30284222960472107,0.26228272914886475,59,92.6
1000,vae,10,0,10000,11000,0.39701521396636963,0.13490307331085205,0.28526338934898376,0.37473922967910767,90,95.2
1000,vae,10,1,10000,11000,0.5196472406387329,0.1731606274843216,0.31753820180892944,0.19741970300674438,5,95.1
1000,vae,10,2,10000,11000,0.4902431070804596,0.15600384771823883,0.3004719614982605,0.2769394516944885,11,95.3
1000,wgan_gp,10,0,10000,11000,0.6738057136535645,0.1956547647714615,0.34790948033332825,0.09316188097000122,123,104.5
1000,wgan_gp,10,1,10000,11000,0.4780629873275757,0.16355496644973755,0.3092173635959625,0.24194085597991943,41,105.2
1000,wgan_gp,10,2,10000,11000,0.6719613075256348,0.21562036871910095,0.36568477749824524,0.0006235241889953613,0,104.9
1000,realnvp,10,0,10000,11000,0.6691089272499084,0.19985820353031158,0.3650350272655487,0.07367938756942749,10,105.0
1000,realnvp,10,1,10000,11000,0.44002997875213623,0.14734779298305511,0.30068239569664,0.31705933809280396,15,105.5
1000,realnvp,10,2,10000,11000,0.46193060278892517,0.13779762387275696,0.29411938786506653,0.3613232970237732,40,105.5
1000,jitter,20,0,20000,21000,0.43637561798095703,0.1438697725534439,0.2976655066013336,0.3331795930862427,5,166.0
1000,jitter,20,1,20000,21000,0.41504108905792236,0.14512701332569122,0.29273155331611633,0.3273524045944214,4,165.8
1000,jitter,20,2,20000,21000,0.42544710636138916,0.146575465798378,0.2892914116382599,0.3206389546394348,7,165.4
1000,gaussiana,20,0,20000,21000,0.48610466718673706,0.1669478565454483,0.31903114914894104,0.2262151837348938,76,165.7
1000,gaussiana,20,1,20000,21000,0.7365561723709106,0.23031747341156006,0.36727920174598694,-0.06749594211578369,6,165.9
1000,gaussiana,20,2,20000,21000,0.8317738175392151,0.23167908191680908,0.3703876733779907,-0.07380688190460205,120,165.5
