n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos
1000,ninguno,0.0,2,0,1000,0.45800116658210754,0.1749279648065567,0.31134089827537537,0.24960029125213623,39,0.8
1000,jitter,1.0,0,1000,2000,0.4280955493450165,0.15768221020698547,0.29073208570480347,0.3235805034637451,36,1.0
1000,jitter,1.0,1,1000,2000,0.44597670435905457,0.168269082903862,0.3053993284702301,0.278165340423584,39,1.1
1000,jitter,1.0,2,1000,2000,0.3987235128879547,0.15492598712444305,0.29209285974502563,0.33540403842926025,39,1.0
1000,gaussiana,1.0,0,1000,2000,0.4879598021507263,0.1755942553281784,0.3079194128513336,0.24674206972122192,23,1.0
1000,gaussiana,1.0,1,1000,2000,0.5301870107650757,0.18860845267772675,0.32699212431907654,0.19091421365737915,10,1.0
1000,gaussiana,1.0,2,1000,2000,0.45677420496940613,0.17679668962955475,0.31200119853019714,0.24158388376235962,28,1.0
1000,block_bootstrap,1.0,0,1000,2000,0.4420354962348938,0.16491377353668213,0.3002598285675049,0.29255878925323486,30,1.0
1000,block_bootstrap,1.0,1,1000,2000,0.5166494250297546,0.18568678200244904,0.32433265447616577,0.20344752073287964,31,1.0
1000,block_bootstrap,1.0,2,1000,2000,0.4171825051307678,0.16001851856708527,0.29516923427581787,0.31355828046798706,31,1.1
1000,vae,1.0,0,1000,2000,0.45509031414985657,0.1685638427734375,0.3013949394226074,0.27690088748931885,20,1.4
1000,vae,1.0,1,1000,2000,0.5017093420028687,0.18393230438232422,0.31970009207725525,0.2109737992286682,31,1.3
1000,vae,1.0,2,1000,2000,0.44012919068336487,0.1685996949672699,0.30252641439437866,0.27674710750579834,15,1.4
1000,wgan_gp,1.0,0,1000,2000,0.44058758020401,0.16574925184249878,0.2985309362411499,0.2889748215675354,38,2.8
1000,wgan_gp,1.0,1,1000,2000,0.5032380223274231,0.18276257812976837,0.3229671120643616,0.21599167585372925,39,2.8
1000,wgan_gp,1.0,2,1000,2000,0.4149830937385559,0.16099683940410614,0.2983211874961853,0.3093615174293518,39,3.0
1000,realnvp,1.0,0,1000,2000,0.41891035437583923,0.15207092463970184,0.28996434807777405,0.3476516008377075,39,1.8
1000,realnvp,1.0,1,1000,2000,0.4428250789642334,0.16451546549797058,0.3037952482700348,0.294267475605011,39,1.9
1000,realnvp,1.0,2,1000,2000,0.40441566705703735,0.14953956007957458,0.291410893201828,0.3585105538368225,32,1.8
1000,jitter,3.0,0,3000,4000,0.4224081337451935,0.15643781423568726,0.2916041910648346,0.3289186954498291,22,1.5
1000,jitter,3.0,1,3000,4000,0.3950866460800171,0.15008407831192017,0.28612020611763,0.3561747074127197,26,1.6
1000,jitter,3.0,2,3000,4000,0.39007216691970825,0.1530839502811432,0.29271551966667175,0.34330594539642334,23,1.5
1000,gaussiana,3.0,0,3000,4000,0.509165346622467,0.18247421085834503,0.316247820854187,0.21722865104675293,11,1.6
1000,gaussiana,3.0,1,3000,4000,0.536670982837677,0.1901407241821289,0.326759934425354,0.18434113264083862,24,1.5
1000,gaussiana,3.0,2,3000,4000,0.4574042856693268,0.1730784773826599,0.3079615831375122,0.2575341463088989,23,1.5
1000,block_bootstrap,3.0,0,3000,4000,0.43881043791770935,0.16046807169914246,0.29923221468925476,0.3116298317909241,18,1.7
1000,block_bootstrap,3.0,1,3000,4000,0.522548496723175,0.18755407631397247,0.32618609070777893,0.1954372525215149,33,1.6
1000,block_bootstrap,3.0,2,3000,4000,0.4253060519695282,0.158480703830719,0.29697558283805847,0.32015514373779297,29,1.7
1000,vae,3.0,0,3000,4000,0.4488039016723633,0.16807331144809723,0.3026837706565857,0.27900511026382446,16,1.9
1000,vae,3.0,1,3000,4000,0.4992254674434662,0.18067993223667145,0.316178560256958,0.224925696849823,26,1.9
1000,vae,3.0,2,3000,4000,0.43923231959342957,0.16381050646305084,0.2985002100467682,0.2972915768623352,17,1.9
1000,wgan_gp,3.0,0,3000,4000,0.431919127702713,0.16485437750816345,0.29729893803596497,0.29281359910964966,33,3.3
1000,wgan_gp,3.0,1,3000,4000,0.4285965859889984,0.15959185361862183,0.2977316975593567,0.31538861989974976,39,3.3
1000,wgan_gp,3.0,2,3000,4000,0.39437055587768555,0.15202373266220093,0.2919027805328369,0.34785401821136475,35,3.4
1000,realnvp,3.0,0,3000,4000,0.4079047739505768,0.154001384973526,0.29009392857551575,0.33937036991119385,22,2.4
1000,realnvp,3.0,1,3000,4000,0.41529348492622375,0.15590444207191467,0.29325756430625916,0.331206738948822,23,2.5
1000,realnvp,3.0,2,3000,4000,0.4088252782821655,0.1559513807296753,0.297689288854599,0.331005334854126,19,2.4
3000,ninguno,0.0,0,0,3000,0.43011191487312317,0.15749503672122955,0.29144397377967834,0.3243834376335144,17,1.3
3000,ninguno,0.0,1,0,3000,0.3876304626464844,0.14529593288898468,0.28411808609962463,0.37671470642089844,32,1.3
3000,ninguno,0.0,2,0,3000,0.38942885398864746,0.15243737399578094,0.2897326350212097,0.34607964754104614,25,1.3
3000,jitter,1.0,0,3000,6000,0.4133983254432678,0.1535208821296692,0.2900031805038452,0.3414316177368164,20,2.1
3000,jitter,1.0,1,3000,6000,0.37615805864334106,0.14337556064128876,0.2832666337490082,0.3849526643753052,29,2.0
3000,jitter,1.0,2,3000,6000,0.3734917640686035,0.14363302290439606,0.28276973962783813,0.3838481903076172,24,2.1
3000,gaussiana,1.0,0,3000,6000,0.45860886573791504,0.16852425038814545,0.3033824861049652,0.27707070112228394,9,2.0
3000,gaussiana,1.0,1,3000,6000,0.4848659634590149,0.1744212508201599,0.3128061592578888,0.2517739534378052,18,2.1
3000,gaussiana,1.0,2,3000,6000,0.42147138714790344,0.16167111694812775,0.2993467152118683,0.30646902322769165,13,2.0
3000,block_bootstrap,1.0,0,3000,6000,0.4351363182067871,0.15545400977134705,0.2914178967475891,0.33313894271850586,14,2.2
3000,block_bootstrap,1.0,1,3000,6000,0.3923376500606537,0.14460419118404388,0.2871665060520172,0.37968212366104126,27,2.1
3000,block_bootstrap,1.0,2,3000,6000,0.3859536647796631,0.14968962967395782,0.2862159013748169,0.3578668236732483,20,2.2
3000,vae,1.0,0,3000,6000,0.4194225072860718,0.1578143686056137,0.2973242700099945,0.3230136036872864,29,3.2
3000,vae,1.0,1,3000,6000,0.43224814534187317,0.16007018089294434,0.29653918743133545,0.31333667039871216,17,3.0
3000,vae,1.0,2,3000,6000,0.4114019572734833,0.15641310811042786,0.29265594482421875,0.32902467250823975,22,3.0
3000,wgan_gp,1.0,0,3000,6000,0.457405149936676,0.17256934940814972,0.3096587061882019,0.2597181797027588,8,6.9
3000,wgan_gp,1.0,1,3000,6000,0.4264002740383148,0.14982818067073822,0.29223909974098206,0.3572724461555481,32,7.0
3000,wgan_gp,1.0,2,3000,6000,0.4488884508609772,0.1609758585691452,0.3028715252876282,0.30945152044296265,23,7.0
3000,realnvp,1.0,0,3000,6000,0.39703845977783203,0.14985792338848114,0.2896132171154022,0.357144832611084,26,4.5
3000,realnvp,1.0,1,3000,6000,0.3828750252723694,0.13737939298152924,0.27819815278053284,0.4106748104095459,28,4.5
3000,realnvp,1.0,2,3000,6000,0.366917222738266,0.13950611650943756,0.27964967489242554,0.40155166387557983,34,4.5
3000,jitter,3.0,0,9000,12000,0.4085077941417694,0.15509146451950073,0.2951775789260864,0.3346942067146301,20,3.5
3000,jitter,3.0,1,9000,12000,0.3791283667087555,0.14078053832054138,0.28298085927963257,0.396084725856781,18,3.5
3000,jitter,3.0,2,9000,12000,0.3738956153392792,0.14017096161842346,0.2821526527404785,0.39869964122772217,14,3.6
3000,gaussiana,3.0,0,9000,12000,0.48042595386505127,0.1788199245929718,0.31461039185523987,0.23290473222732544,4,3.6
3000,gaussiana,3.0,1,9000,12000,0.5066685676574707,0.1810961365699768,0.3197152614593506,0.22314029932022095,7,3.6
3000,gaussiana,3.0,2,9000,12000,0.44066980481147766,0.16571077704429626,0.30577102303504944,0.28913986682891846,21,3.6
3000,block_bootstrap,3.0,0,9000,12000,0.4339180588722229,0.15830636024475098,0.29665905237197876,0.32090306282043457,12,3.8
