n_real,generador,ratio,delta_medio,delta_sd,n_seeds,ee,t,veredicto
1000,gaussiana,5.0,-0.19489552577336625,0.2103912885195203,3,0.12146946706189728,-1.6044816074977362,no concluyente
1000,gaussiana,10.0,-0.2312134703000386,0.2021412239276204,3,0.11670629004893207,-1.9811568871146235,no concluyente
1000,gaussiana,20.0,-0.3114213347434997,0.1878604090846636,3,0.10846125775510375,-2.871267964148659,empeora
1000,gaussiana,30.0,-0.3590296506881714,0.19591011071411735,3,0.11310875515776504,-3.174198586019215,empeora
1000,jitter,1.0,-0.0012930631637573242,0.023016147295492326,3,0.013288378836760572,-0.09730781908326042,no concluyente
1000,jitter,3.0,0.02472589413324992,0.030934113661769673,3,0.017859818849765202,1.3844426050029608,no concluyente
1000,jitter,5.0,0.005635917186737042,0.015549190928938429,3,0.00897732956850349,0.627794395174081,no concluyente
1000,jitter,10.0,0.001986265182495117,0.012155625675376586,3,0.0070180537558469985,0.28302222405183014,no concluyente
1000,jitter,20.0,-0.012668470541636131,0.021769028109523678,3,0.012568354239030025,-1.0079657448144803,no concluyente
1000,jitter,30.0,0.016222238540649414,0.02752909161435987,3,0.015893928454096543,1.0206563209027313,no concluyente
1000,realnvp,1.0,-0.008325894673665383,0.04741040913392304,3,0.02737241247586076,-0.3041710218639968,no concluyente
1000,realnvp,3.0,-0.03611656030019125,0.08796687396436596,3,0.05078769836309657,-0.7111281169306605,no concluyente
1000,realnvp,5.0,-0.11221053202946983,0.18420344730160088,3,0.10634990988523632,-1.0551069779989262,no concluyente
1000,realnvp,10.0,-0.08903811375300093,0.13925209217563758,3,0.08039723290282294,-1.1074773414232095,no concluyente
1000,realnvp,20.0,-0.11854118108749391,0.13160276338716145,3,0.0759808908676763,-1.5601446591872425,no concluyente
1000,realnvp,30.0,-0.10746655861536662,0.14431624176397967,3,0.08332102103086877,-1.289789266691204,no concluyente
1000,vae,1.0,0.01041555404663084,0.03817830460939868,3,0.02204225444343986,0.47252671333402024,no concluyente
1000,vae,3.0,-0.038534124692281124,0.0391295901679746,3,0.02259147941675987,-1.7056928402702982,no concluyente
1000,vae,5.0,-0.02156609296798706,0.07608005805578352,3,0.04392484199846897,-0.49097713245590635,no concluyente
1000,vae,10.0,-0.056692659854888944,0.10528466538106247,3,0.0607861298992961,-0.9326578275144548,no concluyente
1000,vae,20.0,-0.07830083370208739,0.10107997409914117,3,0.058358550255819555,-1.3417199940514146,no concluyente
1000,vae,30.0,-0.07688305775324501,0.11109555918501032,3,0.06414105100123771,-1.19865603311928,no concluyente
1000,wgan_gp,1.0,-0.07168292999267578,0.04686407786683376,3,0.027056987971740058,-2.649331480190838,empeora
1000,wgan_gp,3.0,-0.17670977115631106,0.11890576302823214,3,0.06865027429254768,-2.5740577583605337,empeora
1000,wgan_gp,5.0,-0.18760879834493002,0.1414919888032501,3,0.08169043782373196,-2.2965821134383444,no concluyente
1000,wgan_gp,10.0,-0.22781670093536377,0.116930945982467,3,0.06751011313957492,-3.3745566455259866,empeora
1000,wgan_gp,20.0,-0.21639599402745566,0.1232054349667498,3,0.07113269104367793,-3.0421454728119457,empeora
1000,wgan_gp,30.0,-0.2571025292078654,0.1359147785277276,3,0.0784704339698319,-3.2764254790117375,empeora
