n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos,receta
250,realnvp,3.0,0,750,1000,0.5264826416969299,0.1896728724241256,0.3254514634609222,0.1863481402397155,99,4.4,f16761a9
250,realnvp,3.0,1,750,1000,0.686089038848877,0.23422871530056,0.3725547194480896,-0.0047858953475952,6,4.4,f16761a9
250,realnvp,3.0,2,750,1000,0.6403871774673462,0.2177033722400665,0.3600994050502777,0.0661038756370544,99,4.3,f16761a9
250,jitter,5.0,0,1250,1500,0.462300568819046,0.1718171536922454,0.3096666038036346,0.2629449367523193,29,4.8,f16761a9
250,jitter,5.0,1,1250,1500,0.5969363451004028,0.207184836268425,0.3386740684509277,0.1112259030342102,89,4.8,f16761a9
250,jitter,5.0,2,1250,1500,0.4481691718101501,0.1610280275344848,0.306577980518341,0.3092277646064758,54,4.8,f16761a9
250,gaussiana,5.0,0,1250,1500,0.5263862013816833,0.186336800456047,0.3217110633850097,0.2006590962409973,53,4.8,f16761a9
250,gaussiana,5.0,1,1250,1500,0.6284814476966858,0.2174360454082489,0.3558984398841858,0.0672506690025329,98,5.0,f16761a9
250,gaussiana,5.0,2,1250,1500,0.5563454627990723,0.1972880810499191,0.3394686877727508,0.153680682182312,99,5.0,f16761a9
250,block_bootstrap,5.0,0,1250,1500,0.5708358883857727,0.1966975778341293,0.3320856988430023,0.1562137603759765,81,5.0,f16761a9
250,block_bootstrap,5.0,1,1250,1500,0.5830121040344238,0.2016217857599258,0.3459158837795257,0.1350901126861572,82,4.9,f16761a9
250,block_bootstrap,5.0,2,1250,1500,0.522789716720581,0.1817762404680252,0.3259259462356567,0.2202228307723999,47,4.8,f16761a9
250,vae,5.0,0,1250,1500,0.5718384981155396,0.1960255354642868,0.3292761147022247,0.1590967178344726,81,4.9,f16761a9
250,vae,5.0,1,1250,1500,0.594383716583252,0.2077554166316986,0.3480525314807892,0.1087782382965087,99,4.9,f16761a9
250,vae,5.0,2,1250,1500,0.4901070296764374,0.1766114383935928,0.3162644803524017,0.2423785924911499,99,4.9,f16761a9
250,realnvp,5.0,0,1250,1500,0.4477367699146271,0.1677585840225219,0.3093211948871612,0.2803552746772766,44,5.2,f16761a9
250,realnvp,5.0,1,1250,1500,0.6557698249816895,0.22725410759449,0.3702171444892883,0.0251334905624389,95,5.2,f16761a9
250,realnvp,5.0,2,1250,1500,0.542488694190979,0.1838124841451645,0.3309469521045685,0.2114878296852111,72,5.1,f16761a9
