n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
500,wgan_gp,5.0,0.21822730700174967,0.02588499092572756,0.16867128511269883,3000,3
500,wgan_gp,10.0,0.2430729866027832,0.042900038261506075,0.16331071158250168,5500,3
500,wgan_gp,20.0,0.24570339918136597,0.05357420802023145,0.16274318099021906,10500,3
500,wgan_gp,30.0,0.2462085882822672,0.04790387693050577,0.16263418893019355,15500,3
1000,block_bootstrap,1.0,0.32064606746037794,0.042269325497476015,0.1465739359458287,2000,3
1000,block_bootstrap,3.0,0.31347068150838214,0.0060041300789383245,0.14812206228574112,4000,3
1000,block_bootstrap,5.0,0.28903994957606,0.02103602062861159,0.15339311460653937,6000,3
1000,block_bootstrap,10.0,0.2970887025197347,0.03064835885661824,0.1516565531492233,11000,3
1000,block_bootstrap,20.0,0.2747772336006164,0.027778681611408503,0.1564703633387883,21000,3
1000,block_bootstrap,30.0,0.2747567296028137,0.03293049409904361,0.15647478898366288,31000,3
1000,gaussiana,1.0,0.2126825451850891,0.14048010327654442,0.1698675950368245,2000,3
1000,gaussiana,3.0,0.16931835810343424,0.19266044761049114,0.17922363678614292,4000,3
1000,gaussiana,5.0,0.14482992887496948,0.19356909750584098,0.18450712660948432,6000,3
1000,gaussiana,10.0,0.10851198434829713,0.1852618938135816,0.19234290719032288,11000,3
1000,gaussiana,20.0,0.02830411990483607,0.1714250532448901,0.20964813729127244,21000,3
1000,gaussiana,30.0,-0.0193041960398356,0.18000733414438938,0.21991987029711402,31000,3
1000,jitter,1.0,0.33843239148457843,0.02651020692728341,0.14273645480473832,2000,3
1000,jitter,3.0,0.3644513487815857,0.020011913330652,0.13712273538112638,4000,3
1000,jitter,5.0,0.3453613718350728,0.016016463140499374,0.14124149084091178,6000,3
1000,jitter,10.0,0.3417117198308309,0.015680296571559876,0.14202891786893204,11000,3
1000,jitter,20.0,0.32705698410669964,0.006275536480000198,0.14519075055917105,21000,3
1000,jitter,30.0,0.35594769318898517,0.011407099713566779,0.13895744085311887,31000,3
1000,ninguno,0.0,0.33972545464833576,0.0168803230528949,0.14245746533075965,1000,3
1000,realnvp,1.0,0.33139955997467035,0.06242577206962249,0.14425382018089292,2000,3
1000,realnvp,3.0,0.30360889434814453,0.10258223443548177,0.15024979412555692,4000,3
1000,realnvp,5.0,0.22751492261886594,0.1996759308739321,0.16666743655999502,6000,3
1000,realnvp,10.0,0.2506873408953348,0.15488281431627784,0.16166787346204117,11000,3
1000,realnvp,20.0,0.22118427356084183,0.14786555879521546,0.1680333067973454,21000,3
1000,realnvp,30.0,0.23225889603296915,0.15972866088260132,0.16564390559991202,31000,3
1000,vae,1.0,0.3501410086949666,0.026356167044035643,0.14021025598049164,2000,3
1000,vae,3.0,0.30119132995605463,0.02228645151789308,0.15077138940493262,4000,3
1000,vae,5.0,0.3181593616803487,0.05944538842132514,0.14711045722166693,6000,3
1000,vae,10.0,0.28303279479344684,0.0888166665520552,0.1546891828378041,11000,3
1000,vae,20.0,0.26142462094624835,0.0841996638331514,0.15935125450293217,21000,3
1000,vae,30.0,0.26284239689509076,0.09421538720510972,0.1590453634659449,31000,3
1000,wgan_gp,1.0,0.26804252465566,0.04792357331497847,0.15792341033617652,2000,3
1000,wgan_gp,3.0,0.1630156834920247,0.11816673175752233,0.18058346211910245,4000,3
1000,wgan_gp,5.0,0.15211665630340573,0.14079132453831292,0.18293497959772742,6000,3
1000,wgan_gp,10.0,0.11190875371297197,0.12174603724106832,0.1916100333134333,11000,3
1000,wgan_gp,20.0,0.12332946062088009,0.12319235297102202,0.18914596239725742,21000,3
1000,wgan_gp,30.0,0.08262292544047035,0.13800817656481976,0.19792859752972916,31000,3
