n_real,generador,n_synth,delta_medio,delta_sd,n_seeds,ee,t,veredicto
10000,realnvp,3000,0.015095372994740822,0.0039037589552642655,3,0.002253836283673236,6.69763509625412,mejora
10000,realnvp,7000,0.020482718944549522,0.006773025123637048,3,0.0039104078783599484,5.238000633616797,mejora
10000,realnvp,20000,0.034727493921915674,0.009116066979301767,3,0.005263163724450534,6.5982165366784535,mejora
10000,vae,500,-0.006792207558949807,0.010351598063957168,3,0.00597649792876848,-1.1364862231867974,no concluyente
10000,vae,1000,-0.006387611230214456,0.01723644197693029,3,0.009951464415252067,-0.6418765081875298,no concluyente
10000,vae,3000,-0.015428086121877035,0.00505032038121439,3,0.002915803831587982,-5.2911948172709256,empeora
10000,vae,7000,-0.0214093327522278,0.02429416915658015,3,0.014026245102289853,-1.5263766315286065,no concluyente
10000,vae,20000,-0.03295151392618817,0.01733004004140429,3,0.010005503282971761,-3.2933389749886874,empeora
20000,block_bootstrap,500,-0.005215783913930276,0.0035997278331741183,3,0.0020783038334924657,-2.5096349387786394,empeora
20000,block_bootstrap,1000,-0.0011155605316162294,0.013504505536695027,3,0.007796829906883666,-0.1430787313484065,no concluyente
20000,block_bootstrap,3000,-0.006636997063954708,0.007990982699680465,3,0.00461359601275016,-1.4385735217415365,no concluyente
20000,block_bootstrap,7000,-0.00712253650029504,0.0064779868346428165,3,0.003740067442787882,-1.9043871826508652,no concluyente
20000,block_bootstrap,20000,-0.03161583344141646,0.00850414076236684,3,0.004909867958378965,-6.43924311395427,empeora
20000,diffusion_ts,500,-0.0036815603574117395,0.0016308255731374744,3,0.0009415575836522466,-3.910074562971691,empeora
20000,diffusion_ts,1000,0.0007773240407307943,0.01066179198793867,3,0.006155588474280187,0.12627940350117245,no concluyente
20000,diffusion_ts,3000,-0.0022765398025512695,0.009870758077202023,3,0.0056988848329782614,-0.3994711016754378,no concluyente
20000,diffusion_ts,7000,0.006372729937235515,0.01173331808606591,3,0.006774234355477657,0.940730657197077,no concluyente
20000,diffusion_ts,20000,0.008401612440745018,0.005969447367628195,3,0.003446462044613442,2.437749881469346,no concluyente
20000,gaussiana,500,-0.0038173000017802106,0.014612401735648234,3,0.008436474075583462,-0.4524757579505995,no concluyente
20000,gaussiana,1000,-0.012590964635213253,0.013912535721062755,3,0.008032406243665866,-1.5675208963867011,no concluyente
20000,gaussiana,3000,-0.04675400257110599,0.007689725377892051,3,0.004439665016920272,-10.530975285954915,empeora
20000,gaussiana,7000,-0.07123581568400066,0.030721123625124903,3,0.017736848994773634,-4.01626104529565,empeora
20000,gaussiana,20000,-0.10368635257085167,0.02645565941652752,3,0.015274182085721223,-6.788340743153826,empeora
20000,jitter,500,-0.009670297304789244,0.0026408491367191853,3,0.0015246949599740124,-6.342447216428176,empeora
20000,jitter,1000,-0.003069162368774451,0.01706163213013853,3,0.009850537903149848,-0.3115730733641503,no concluyente
20000,jitter,3000,-0.005816121896107991,0.00924165281387231,3,0.0053356707398462405,-1.0900451282860824,no concluyente
20000,jitter,7000,-0.0013676881790161504,0.011944184180168254,3,0.006895977951670611,-0.1983312865269263,no concluyente
20000,jitter,20000,0.0014609098434448058,0.013499610417676352,3,0.007794003708600518,0.1874402294462245,no concluyente
20000,realnvp,500,-0.002725124359130878,0.010838173681122866,3,0.006257422492320204,-0.4355026949954953,no concluyente
20000,realnvp,1000,-0.0012125571568807152,0.01171370722455047,3,0.006762912019302679,-0.17929512515020735,no concluyente
20000,realnvp,3000,-0.006626506646474221,0.010552416445963398,3,0.006092440475678002,-1.0876604659377955,no concluyente
20000,realnvp,7000,0.008862813313802065,0.013507042722576185,3,0.007798294751835137,1.13650658199556,no concluyente
20000,realnvp,20000,0.002895891666412335,0.016326133232029673,3,0.009425897416338027,0.30722715710791093,no concluyente
20000,vae,500,-0.0036599834760030294,0.010591254517832485,3,0.0061148636469264255,-0.598538853412158,no concluyente
20000,vae,1000,-0.009171803792317745,0.004828387574172997,3,0.0027876708657006244,-3.290131523476176,empeora
20000,vae,3000,-0.009203791618347204,0.0028802820205697747,3,0.0016629315999179988,-5.5346784069778066,empeora
20000,vae,7000,-0.022118826707204237,0.015648567668935617,3,0.009034704756092055,-2.4482069203522814,no concluyente
20000,vae,20000,-0.03310690323511761,0.009233835674380428,3,0.00533115751225631,-6.210077860015386,empeora
