n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
250,vae,80.0,0.0590108831723531,0.18066218947126134,0.2193568398555119,20250,3
1000,block_bootstrap,0.5,0.2928428252538045,0.04797940053251399,0.16484756767749778,1500,3
1000,block_bootstrap,1.0,0.26052725315093994,0.013044840610090647,0.17238075037797293,2000,3
1000,block_bootstrap,3.0,0.2961028814315796,0.015935906603314665,0.16408760348955787,4000,3
1000,block_bootstrap,7.0,0.31207241614659625,0.03989458208229351,0.16036490102608994,8000,3
1000,block_bootstrap,20.0,0.3043106396993001,0.03965310192996426,0.16217426458994547,21000,3
1000,diffusion_ts,0.5,0.30220872163772583,0.03260978531601084,0.162664254506429,1500,3
1000,diffusion_ts,1.0,0.30457824468612665,0.026497280756947805,0.162111888329188,2000,3
1000,diffusion_ts,3.0,0.3383409380912781,0.026262523654223022,0.15424136320749912,4000,3
1000,diffusion_ts,7.0,0.36371344327926636,0.036994640967928746,0.14832669993241623,8000,3
1000,diffusion_ts,20.0,0.3757304747899373,0.05550167898700292,0.14552537103494007,21000,3
1000,gaussiana,0.5,0.2633486986160278,0.09817413315801922,0.17172303299109137,1500,3
1000,gaussiana,1.0,0.2338024377822876,0.09996982675575335,0.17861064771811164,2000,3
1000,gaussiana,3.0,0.20200405518213907,0.0915434794319034,0.18602327009042097,4000,3
1000,gaussiana,7.0,0.14036252101262406,0.11192975755633014,0.20039271811644233,8000,3
1000,gaussiana,20.0,0.072762668132782,0.1229727754171943,0.21615112821261084,21000,3
1000,jitter,0.5,0.31435473759969074,0.04073110738325763,0.1598328550656636,1500,3
1000,jitter,1.0,0.3168233036994934,0.04804509745877653,0.15925740202267966,2000,3
1000,jitter,3.0,0.36424330870310456,0.03159069248248641,0.14820317924022675,4000,3
1000,jitter,7.0,0.3647560079892476,0.042274386714292386,0.14808366199334458,8000,3
1000,jitter,20.0,0.3622865279515584,0.039051468386188073,0.14865933358669278,21000,3
1000,ninguno,0.0,0.1994465390841166,0.16137933318282294,0.18661946058273315,1000,3
1000,realnvp,0.5,0.305372953414917,0.02698188332376943,0.1619266271591186,1500,3
1000,realnvp,1.0,0.30379541714986164,0.041612162716725846,0.1622943778832753,2000,3
1000,realnvp,3.0,0.3462701241175334,0.028452304542365733,0.1523929635683695,4000,3
1000,realnvp,7.0,0.340786616007487,0.052641344685438345,0.15367124478022254,8000,3
1000,realnvp,20.0,0.35129066308339435,0.03315334924481454,0.15122261146704355,21000,3
1000,vae,0.5,0.29094018538792926,0.05315861297377067,0.16529109577337897,1500,3
1000,vae,1.0,0.2635011275609334,0.05179860258793246,0.17168749868869781,2000,3
1000,vae,3.0,0.2649027506510417,0.012393253700517791,0.1713607609272003,4000,3
